         1250288 function calls (1197757 primitive calls) in 2.617 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    2.618    2.618 profile_analisis.py:11(simulation)
        1    0.000    0.000    2.616    2.616 game_of_life.py:43(run)
      100    0.001    0.000    2.616    0.026 game_of_life.py:40(step)
        1    0.000    0.000    1.901    1.901 dispatcher.py:344(_compile_for_args)
     17/1    0.000    0.000    1.834    1.834 dispatcher.py:858(compile)
      5/1    0.000    0.000    1.834    1.834 dispatcher.py:79(compile)
      5/1    0.000    0.000    1.834    1.834 dispatcher.py:86(_compile_cached)
      5/1    0.000    0.000    1.834    1.834 dispatcher.py:101(_compile_core)
      5/1    0.000    0.000    1.834    1.834 compiler.py:713(compile_extra)
        7    0.000    0.000    1.018    0.145 compiler.py:391(__init__)
  457/273    0.001    0.000    0.997    0.004 compiler_lock.py:32(_acquire_compile_lock)
   268/23    0.000    0.000    0.860    0.037 base.py:261(refresh)
      7/1    0.000    0.000    0.820    0.820 compiler.py:433(compile_extra)
      7/1    0.000    0.000    0.819    0.819 compiler.py:500(_compile_bytecode)
      7/1    0.000    0.000    0.819    0.819 compiler.py:456(_compile_core)
      7/1    0.001    0.000    0.818    0.818 compiler_machinery.py:342(run)
   189/27    0.005    0.000    0.818    0.030 compiler_machinery.py:267(_runPass)
      268    0.003    0.000    0.816    0.003 cpu.py:60(load_additional_registries)
   567/81    0.001    0.000    0.813    0.010 compiler_machinery.py:271(check)
   141/98    0.001    0.000    0.807    0.008 <frozen importlib._bootstrap>:1165(_find_and_load)
    85/42    0.001    0.000    0.806    0.019 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
    81/42    0.000    0.000    0.791    0.019 <frozen importlib._bootstrap>:666(_load_unlocked)
    80/42    0.000    0.000    0.789    0.019 <frozen importlib._bootstrap_external>:934(exec_module)
6418/6207    0.007    0.000    0.759    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
   216/49    0.000    0.000    0.746    0.015 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      100    0.714    0.007    0.714    0.007 game_of_life.py:7(upgrade)
    52/35    0.000    0.000    0.693    0.020 {built-in method builtins.__import__}
       80    0.002    0.000    0.680    0.008 <frozen importlib._bootstrap_external>:1007(get_code)
       80    0.001    0.000    0.655    0.008 <frozen importlib._bootstrap_external>:1127(get_data)
       80    0.642    0.008    0.642    0.008 {built-in method io.open_code}
      7/4    0.001    0.000    0.585    0.146 typed_passes.py:437(run_pass)
     3185    0.387    0.000    0.454    0.000 ffi.py:195(__call__)
    80/42    0.001    0.000    0.416    0.010 {built-in method builtins.exec}
      7/2    0.000    0.000    0.406    0.203 typed_passes.py:105(run_pass)
      7/2    0.000    0.000    0.406    0.203 typed_passes.py:68(type_inference_stage)
      7/2    0.000    0.000    0.400    0.200 typeinfer.py:1055(propagate)
     16/6    0.001    0.000    0.400    0.067 typeinfer.py:147(propagate)
  137/123    0.003    0.000    0.387    0.003 functions.py:281(get_call_type)
  144/132    0.001    0.000    0.383    0.003 typeinfer.py:568(resolve)
  152/140    0.000    0.000    0.379    0.003 context.py:188(resolve_function_type)
  144/132    0.000    0.000    0.379    0.003 typeinfer.py:1522(resolve_call)
  152/140    0.000    0.000    0.378    0.003 context.py:232(_resolve_user_function_type)
  806/788    0.001    0.000    0.366    0.000 templates.py:356(apply)
        8    0.000    0.000    0.356    0.045 codegen.py:747(finalize)
    50/38    0.000    0.000    0.351    0.009 typeinfer.py:558(__call__)
  180/172    0.000    0.000    0.349    0.002 templates.py:614(generic)
  180/172    0.001    0.000    0.348    0.002 templates.py:705(_get_impl)
    16/13    0.000    0.000    0.340    0.026 templates.py:756(_build_impl)
     16/5    0.000    0.000    0.339    0.068 functions.py:531(get_call_type)
     16/5    0.000    0.000    0.339    0.068 dispatcher.py:304(get_call_template)
      7/4    0.000    0.000    0.301    0.075 lowering.py:188(lower)
      7/4    0.000    0.000    0.259    0.065 lowering.py:224(lower_normal_function)
      7/4    0.000    0.000    0.256    0.064 lowering.py:241(lower_function_body)
    35/27    0.001    0.000    0.256    0.009 lowering.py:266(lower_block)
  355/290    0.002    0.000    0.252    0.001 lowering.py:455(lower_inst)
    35/22    0.000    0.000    0.245    0.011 codegen.py:565(_ensure_finalized)
   275/30    0.000    0.000    0.233    0.008 context.py:152(refresh)
  151/123    0.001    0.000    0.228    0.002 lowering.py:664(lower_assign)
        5    0.000    0.000    0.215    0.043 cpu.py:225(get_executable)
        5    0.000    0.000    0.214    0.043 codegen.py:983(get_pointer_to_function)
    71/69    0.000    0.000    0.214    0.003 __init__.py:108(import_module)
    77/64    0.001    0.000    0.213    0.003 lowering.py:1242(lower_expr)
    71/69    0.000    0.000    0.213    0.003 <frozen importlib._bootstrap>:1192(_gcd_import)
        8    0.000    0.000    0.208    0.026 codegen.py:789(_finalize_final_module)
    49/39    0.000    0.000    0.190    0.005 base.py:1189(__call__)
    49/39    0.000    0.000    0.190    0.005 base.py:1218(wrapper)
        8    0.000    0.000    0.181    0.023 codegen.py:1004(_finalize_specific)
      268    0.000    0.000    0.175    0.001 nrt.py:19(initialize)
        1    0.000    0.000    0.175    0.175 nrtdynmod.py:205(compile_nrt_functions)
       14    0.000    0.000    0.171    0.012 codegen.py:1066(wrapper)
        8    0.000    0.000    0.171    0.021 executionengine.py:94(finalize_object)
        2    0.000    0.000    0.160    0.080 base.py:876(compile_internal)
       10    0.000    0.000    0.159    0.016 utils.py:687(__init__)
        2    0.000    0.000    0.157    0.079 base.py:847(compile_subroutine)
        2    0.000    0.000    0.157    0.079 base.py:809(_compile_subroutine_no_cache)
       14    0.000    0.000    0.150    0.011 codegen.py:731(add_ir_module)
   275/30    0.001    0.000    0.146    0.005 context.py:394(_load_builtins)
        8    0.000    0.000    0.133    0.017 codegen.py:667(_optimize_final_module)
        2    0.000    0.000    0.126    0.063 compiler.py:806(compile_internal)
    16/14    0.000    0.000    0.112    0.008 lowering.py:914(lower_call)
    16/14    0.000    0.000    0.111    0.008 lowering.py:1214(_lower_call_normal)
        6    0.000    0.000    0.109    0.018 templates.py:1083(_get_signature)
        4    0.000    0.000    0.109    0.027 functions.py:387(get_call_type)
        4    0.000    0.000    0.109    0.027 templates.py:1137(generic)
      275    0.001    0.000    0.104    0.000 context.py:723(load_additional_registries)
        1    0.000    0.000    0.103    0.103 arrayobj.py:4433(codegen)
       16    0.000    0.000    0.103    0.006 passmanagers.py:685(run)
        1    0.000    0.000    0.101    0.101 arrayobj.py:4241(_empty_nd_impl)
        1    0.000    0.000    0.093    0.093 charseq.py:1(<module>)
       22    0.082    0.004    0.082    0.004 {built-in method io.open}
        1    0.000    0.000    0.081    0.081 unicode.py:1(<module>)
 2475/270    0.009    0.000    0.076    0.000 context.py:407(install_registry)
    12/11    0.000    0.000    0.075    0.007 lowering.py:740(lower_binop)
       14    0.000    0.000    0.075    0.005 codegen.py:740(add_llvm_module)
       63    0.001    0.000    0.073    0.001 postproc.py:71(run)
       14    0.001    0.000    0.070    0.005 codegen.py:651(_optimize_functions)
        2    0.000    0.000    0.070    0.035 npdatetime.py:1(<module>)
     1988    0.002    0.000    0.069    0.000 {built-in method builtins.sorted}
  476/301    0.001    0.000    0.067    0.000 functools.py:981(__get__)
      269    0.000    0.000    0.067    0.000 entrypoints.py:11(init_all)
        1    0.000    0.000    0.067    0.067 dispatcher.py:237(_compilation_chain_init_hook)
        1    0.000    0.000    0.066    0.066 __init__.py:1021(entry_points)
        1    0.000    0.000    0.066    0.066 __init__.py:473(load)
       20    0.000    0.000    0.066    0.003 __init__.py:1038(<genexpr>)
      245    0.000    0.000    0.065    0.000 templates.py:1054(__init__)
        1    0.000    0.000    0.065    0.065 inline_closurecall.py:1(<module>)
      251    0.001    0.000    0.064    0.000 templates.py:907(_get_target_registry)
      238    0.001    0.000    0.063    0.000 templates.py:1100(_init_once)
       19    0.000    0.000    0.063    0.003 __init__.py:634(entry_points)
       19    0.000    0.000    0.061    0.003 __init__.py:931(read_text)
       19    0.000    0.000    0.061    0.003 pathlib.py:1053(read_text)
        1    0.000    0.000    0.061    0.061 listobj.py:661(in_seq)
       19    0.000    0.000    0.060    0.003 pathlib.py:1036(open)
18786/18578    0.003    0.000    0.058    0.000 {built-in method builtins.hasattr}
       14    0.002    0.000    0.056    0.004 registry.py:54(apply)
    49/47    0.000    0.000    0.055    0.001 __init__.py:10(__getattr__)
        1    0.000    0.000    0.052    0.052 npyfuncs.py:1(<module>)
        1    0.000    0.000    0.050    0.050 lowering.py:279(create_cpython_wrapper)
        1    0.000    0.000    0.050    0.050 cpu.py:181(create_cpython_wrapper)
        1    0.000    0.000    0.050    0.050 hashing.py:1(<module>)
        5    0.000    0.000    0.049    0.010 lowering.py:292(create_cfunc_wrapper)
        5    0.000    0.000    0.049    0.010 cpu.py:193(create_cfunc_wrapper)
     1011    0.002    0.000    0.048    0.000 extending.py:129(decorate)
27639/5248    0.033    0.000    0.046    0.000 ir.py:321(_rec_list_vars)
     7710    0.012    0.000    0.045    0.000 event.py:209(broadcast)
        1    0.000    0.000    0.043    0.043 callwrapper.py:101(build)
        1    0.000    0.000    0.043    0.043 callwrapper.py:126(build_wrapper)
        1    0.000    0.000    0.042    0.042 old_hashing.py:1(<module>)
     4420    0.002    0.000    0.042    0.000 ir.py:354(list_vars)
      128    0.000    0.000    0.042    0.000 passmanagers.py:762(run)
2194/2180    0.003    0.000    0.040    0.000 abstract.py:61(__call__)
       35    0.000    0.000    0.040    0.001 module.py:233(__repr__)
26065/25625    0.006    0.000    0.040    0.000 {built-in method builtins.next}
       35    0.000    0.000    0.039    0.001 module.py:207(_get_body_lines)
       35    0.000    0.000    0.039    0.001 module.py:212(<listcomp>)
        1    0.000    0.000    0.037    0.037 callwrapper.py:20(add_arg)
     3185    0.003    0.000    0.037    0.000 ffi.py:83(__exit__)
      128    0.000    0.000    0.037    0.000 values.py:1013(__str__)
        1    0.000    0.000    0.037    0.037 pythonapi.py:1429(to_native_value)
      128    0.000    0.000    0.037    0.000 values.py:1006(descr)
     3855    0.005    0.000    0.036    0.000 event.py:404(end_event)
        7    0.000    0.000    0.035    0.005 untyped_passes.py:224(run_pass)
16904/8806    0.009    0.000    0.034    0.000 {method 'format' of 'str' objects}
       94    0.000    0.000    0.034    0.000 typeinfer.py:687(__call__)
       43    0.000    0.000    0.034    0.001 module.py:11(parse_assembly)
     3185    0.002    0.000    0.034    0.000 base.py:1249(exit_fn)
       70    0.006    0.000    0.034    0.000 analysis.py:23(compute_use_defs)
        7    0.000    0.000    0.034    0.005 typed_passes.py:226(run_pass)
        1    0.000    0.000    0.033    0.033 generator_methods.py:1(<module>)
9091/3820    0.005    0.000    0.032    0.000 _utils.py:44(__str__)
        1    0.000    0.000    0.032    0.032 arrayobj.py:1(<module>)
   188965    0.023    0.000    0.032    0.000 {built-in method builtins.isinstance}
    15542    0.016    0.000    0.032    0.000 event.py:243(notify)
       20    0.000    0.000    0.032    0.002 values.py:999(descr_body)
      261    0.000    0.000    0.032    0.000 values.py:1172(descr)
       17    0.000    0.000    0.031    0.002 codegen.py:727(add_linking_library)
      261    0.001    0.000    0.031    0.000 values.py:1174(<listcomp>)
       83    0.001    0.000    0.030    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
       16    0.000    0.000    0.030    0.002 codegen.py:1228(_module_pass_manager)
       63    0.000    0.000    0.029    0.000 postproc.py:42(usedefs)
     3185    0.003    0.000    0.029    0.000 ffi.py:77(__enter__)
     2633    0.005    0.000    0.028    0.000 values.py:544(_to_string)
       82    0.000    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1499(find_spec)
        7    0.000    0.000    0.028    0.004 untyped_passes.py:79(run_pass)
       82    0.000    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1467(_get_spec)
        7    0.000    0.000    0.028    0.004 interpreter.py:1365(interpret)
     3855    0.004    0.000    0.027    0.000 event.py:390(start_event)
       21    0.000    0.000    0.027    0.001 ir.py:1545(infer_constant)
    31/21    0.000    0.000    0.027    0.001 consts.py:24(infer_constant)
    27/21    0.000    0.000    0.027    0.001 consts.py:56(_do_infer)
      117    0.000    0.000    0.026    0.000 errors.py:534(__init__)
       92    0.001    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:1607(find_spec)
       31    0.000    0.000    0.026    0.001 errors.py:702(__init__)
       20    0.000    0.000    0.026    0.001 ir.py:115(strformat)
       12    0.000    0.000    0.026    0.002 ir.py:614(infer_constant)
     3185    0.002    0.000    0.026    0.000 base.py:1246(enter_fn)
     1558    0.024    0.000    0.025    0.000 functions.py:245(__init__)
    22381    0.006    0.000    0.025    0.000 templates.py:1322(new_registrations)
       35    0.000    0.000    0.025    0.001 ir_print.py:11(match)
      286    0.025    0.000    0.025    0.000 {built-in method nt.stat}
       20    0.000    0.000    0.025    0.001 ir.py:91(get_lines)
     2144    0.004    0.000    0.024    0.000 base.py:352(install_registry)
        1    0.000    0.000    0.024    0.024 randomimpl.py:1(<module>)
      270    0.000    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       13    0.000    0.000    0.024    0.002 linecache.py:36(getlines)
        2    0.000    0.000    0.024    0.012 linecache.py:80(updatecache)
        3    0.000    0.000    0.023    0.008 numbers.py:1(<module>)
        2    0.000    0.000    0.022    0.011 tokenize.py:392(open)
       30    0.000    0.000    0.021    0.001 transforms.py:93(populate)
       63    0.000    0.000    0.021    0.000 postproc.py:52(deadmaps)
        1    0.000    0.000    0.020    0.020 boxing.py:1(<module>)
      782    0.001    0.000    0.019    0.000 module.py:220(__next__)
        7    0.000    0.000    0.019    0.003 untyped_passes.py:192(run_pass)
        1    0.000    0.000    0.019    0.019 typeddict.py:1(<module>)
       16    0.000    0.000    0.018    0.001 transforms.py:87(_populate_module_pm)
     2371    0.001    0.000    0.018    0.000 ir.py:611(list_vars)
       80    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        1    0.000    0.000    0.017    0.017 arraymath.py:1(<module>)
       80    0.016    0.000    0.016    0.000 {built-in method marshal.loads}
     2518    0.004    0.000    0.016    0.000 instructions.py:13(__init__)
    18145    0.008    0.000    0.016    0.000 utils.py:475(stream_list)
35038/34987    0.009    0.000    0.016    0.000 {built-in method builtins.getattr}
        2    0.000    0.000    0.016    0.008 cmathimpl.py:1(<module>)
        7    0.000    0.000    0.016    0.002 untyped_passes.py:1742(run_pass)
     1011    0.006    0.000    0.015    0.000 templates.py:887(make_overload_template)
     3483    0.003    0.000    0.015    0.000 values.py:537(__init__)
2697/2477    0.001    0.000    0.015    0.000 contextlib.py:132(__enter__)
        1    0.000    0.000    0.015    0.015 old_numbers.py:1(<module>)
     1348    0.001    0.000    0.015    0.000 <frozen abc>:105(__new__)
      104    0.000    0.000    0.014    0.000 lowering.py:1628(incref)
      316    0.001    0.000    0.014    0.000 context.py:360(_call_incref_decref)
       63    0.000    0.000    0.014    0.000 postproc.py:46(livemap)
       63    0.000    0.000    0.014    0.000 analysis.py:60(compute_live_map)
      126    0.000    0.000    0.013    0.000 analysis.py:71(fix_point)
        1    0.000    0.000    0.013    0.013 typedlist.py:1(<module>)
      502    0.001    0.000    0.013    0.000 value.py:157(name)
3810/3771    0.012    0.000    0.013    0.000 {built-in method __new__ of type object at 0x00007FFC45F30FD0}
     3569    0.003    0.000    0.013    0.000 values.py:557(_set_name)
      435    0.000    0.000    0.012    0.000 targetconfig.py:197(values)
       93    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
  682/316    0.002    0.000    0.012    0.000 context.py:343(get_meminfos)
       88    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
